trade_name,concentration,company,pharmaceutical_form,display_name
Avanjoy,200mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,Avanjoy 200mg
Pentasovir,400mg,penta pharma egypt,Film Coated Tablets,Pentasovir 400mg
Veiwpsy,400mg,organo for pharmaceutical and chemical industries (organo pharma),Film Coated Tablets,Veiwpsy 400mg
Vetorelaxia,100mg/2ml,vetopharm nerhado international for pharmaceuticals and chemicals,"Solution for I.M Injection ,I.V Injection/Infusion",Vetorelaxia 100mg/2ml
OXALIPLATIN ACTAVIS,50mg,forward pharma,Powder for Solution for I.V Infusion,OXALIPLATIN ACTAVIS 50mg
VINORELBINE ACTAVIS,10mg/ml,actavis scientific office,Concentrate For Solution For I.V Infusion,VINORELBINE ACTAVIS 10mg/ml
IRINOTECAN ACTAVIS 20 mg/ml,20mg/ml,actavis scientific office,Concentrate For Solution For I.V Infusion,IRINOTECAN ACTAVIS 20 mg/ml 20mg/ml
CARBOPLATIN ACTAVIS,450mg/45ml,actavis scientific office,Concentrate For Solution For I.V Infusion,CARBOPLATIN ACTAVIS 450mg/45ml
AIADOXIME,100mg/5ml,organo for pharmaceutical and chemical industries (organo pharma),Powder for Oral Suspension,AIADOXIME 100mg/5ml
TOBREX 2x,3mg/ml,Novartis pharma Scientific Office,Eye Drops,TOBREX 2x 3mg/ml
VARDENA,20mg,SAJA Pharmaceuticals Egypt - SAJA,Tablets,VARDENA 20mg
ANTHRA WEST,1gm/100g,Western Pharmaceuticals Industries,Topical Cream,ANTHRA WEST 1gm/100g
CERENTIA 8.31mg,8.31mg,Hikma pharma,Film Coated Tablets,CERENTIA 8.31mg 8.31mg
OXYBIN,5mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,OXYBIN 5mg
DONHIMER,10mg,Apex pharma,Film Coated Tablets,DONHIMER 10mg
NERHAMICIN 0.3%,0.3gm/100g,vetopharm nerhado international for pharmaceuticals and chemicals,Topical Cream,NERHAMICIN 0.3% 0.3gm/100g
MOTIJUST 2mg,2mg,International drug agency for pharmaceutical industry (IDI),Hard Gelatin Capsules,MOTIJUST 2mg 2mg
NEBASCO,5mg,Tabuk Pharmaceutical Manufacturing Co.Egypt - local under construction,Tablets,NEBASCO 5mg
MISACLOR 250 mg /5 ml,250mg/5ml,Mash for pharmaceutical Industries and cosmetic - mash premiere,Powder for Oral Suspension,MISACLOR 250 mg /5 ml 250mg/5ml
Conida 2mg,2mg,Medizen pharmaceutical industries (Medizen),Tablets,Conida 2mg 2mg
SPIRALINOCIN,3M.I.U.,organo for pharmaceutical and chemical industries (organo pharma),Film Coated Tablets,SPIRALINOCIN 3M.I.U.
Velconazole,20mg/gm,AL ESRAA PHARMACEUTICAL OPTIMA-EGYPT,Topical Cream,Velconazole 20mg/gm
BUSCAMOL,0comb,El Delta for Pharmaceutical Industries - Delta Pharma,Rectal Suppositories,BUSCAMOL 0comb
Megy-one,10mg,al andalous for pharmaceutical industries,Film Coated Tablets,Megy-one 10mg
NORMASH 400 mg,400mg,Mash for pharmaceutical Industries and cosmetic - mash premiere,Tablets,NORMASH 400 mg 400mg
Candeurazole,150mg,Tabuk Trading,Hard Gelatin Capsules,Candeurazole 150mg
ACULAR LS,4mg/ml,Abbvie scientific office,Ophthalmic Solution,ACULAR LS 4mg/ml
SPASMEX,30mg,Multipharma for Pharmaceuticals and Chemicals Company,Film Coated Tablets,SPASMEX 30mg
Cancidas 50 mg,50mg,MERCK SHARP&DOHME SCIENTIFIC OFFICE,Powder for concentrate for solution for infusion,Cancidas 50 mg 50mg
OXALIPLATIN ACTAVIS,100mg,actavis scientific office,Powder for Solution for I.V Infusion,OXALIPLATIN ACTAVIS 100mg
EXTRASOLV,0comb,Pharmakon for Pharmaceuticals and cosmetics,Syrup,EXTRASOLV 0comb
FOSTINO,2gm/100g,zad industrial pharma,Topical Gel,FOSTINO 2gm/100g
GEOCAND plus,0comb,Geopharma,Tablets,GEOCAND plus 0comb
Lorin-D,0comb,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Hard Gelatin Capsules,Lorin-D 0comb
TURNALEV,5mg,Lamar Pharma for Pharmaceutical & Cosmetics Industries,Film Coated Tablets,TURNALEV 5mg
Gescamoli Extra,0comb,Amcomed for Pharmaceutical  and Chemical Industries,Film Coated Tablets,Gescamoli Extra 0comb
Cinoflokeen,500mg,NOVA PHARM FOR DRUG TRADING-EGYPT,Film Coated Tablets,Cinoflokeen 500mg
LAMBROFLAM,100mg,Pioneer Pharmaceutical Industries (Pioneer Pharma)(local under construction),Film Coated Tablets,LAMBROFLAM 100mg
VIRUSTAT,4gm/100ml,pharaonia pharmaceuticals (pharo pharma),Oral Suspension,VIRUSTAT 4gm/100ml
Valcyte ®,450mg,Onco pharm Egypt,Film Coated Tablets,Valcyte ® 450mg
AMLOTOR 10/20,0comb,Hikma pharma,Film Coated Tablets,AMLOTOR 10/20 0comb
AMLOTOR,0comb,Hikma pharma,Film Coated Tablets,AMLOTOR 0comb
DYSPA-EAST,360mg,Western Pharmaceuticals Industries,Delayed Release Capsules containing enteric coated pellets,DYSPA-EAST 360mg
TENAVIRON,245mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,TENAVIRON 245mg
PENTACOLD,0comb,penta pharma egypt,Syrup,PENTACOLD 0comb
CODIOCT,0comb,October Pharma,Oral Syrup,CODIOCT 0comb
Cancidas 70 mg,70mg,MERCK SHARP&DOHME SCIENTIFIC OFFICE,Powder for concentrate for solution for infusion,Cancidas 70 mg 70mg
VESELTHRO,20mg,Alansar Marketing Company (AMC),Film Coated Tablets,VESELTHRO 20mg
Shatoo,0comb,Egyphar,CONTROLLED RELEASE FILM COATED TABLET,Shatoo 0comb
ABIVIT -A,50000I.U.,Glaxo smithkline,Soft Gelatin Capsule,ABIVIT -A 50000I.U.
TOPILEPT,25mg,universal pharmaceutical industries (unipharma),Film Coated Tablets,TOPILEPT 25mg
MARLIPAR,90mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,MARLIPAR 90mg
MARLIPAR 60 mg,60mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,MARLIPAR 60 mg 60mg
MARLIPAR 30 mg,30mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,MARLIPAR 30 mg 30mg
X-Tension® plus 300/12.5mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Tablets,X-Tension® plus 300/12.5mg 0comb
SYNOBIOGEN,20mg/2ml,rotabiogen for Pharmaceutical Investments and Chemicals,solution for intra-articular injection,SYNOBIOGEN 20mg/2ml
TICANASE,0.05gm/100g,European egyptian pharmaceutical industries,Topical Cream,TICANASE 0.05gm/100g
GESIFAST SR 150mg,150mg,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,SUSTAINED RELEASE TABLET,GESIFAST SR 150mg 150mg
KITI,75mg,October Pharma,Hard Gelatin Capsules,KITI 75mg
ZOLINOX,0comb,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,ZOLINOX 0comb
GESIFAST SR,100mg,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,Sustained Release Film Coated Tablets,GESIFAST SR 100mg
ACTOFLEX,0.03gm/1gm,Western Pharmaceuticals Industries,Topical Gel,ACTOFLEX 0.03gm/1gm
Acilight,150mg,El OBOUR MODERN PHARMACEUTICAL INDUSTRIES-EGYPT,Film Coated Tablets,Acilight 150mg
Cryptonaz,500mg,copad egypt for trade and pharmaceutical industries (copad pharma),Film Coated Tablets,Cryptonaz 500mg
ALFABRIMO,2mg/ml,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Ophthalmic Solution,ALFABRIMO 2mg/ml
FINOFIB,300mg,Egyphar,Hard Gelatin Capsules,FINOFIB 300mg
Mesalamine,250mg,SINA PHARM,Controlled Release Capsule,Mesalamine 250mg
Mesalamine,400mg,SINA PHARM,Controlled Release Capsule,Mesalamine 400mg
DIOSMIN,600mg,Novartis Pharma,Film Coated Tablets,DIOSMIN 600mg
Clinawady,1000mg/100ml,Wady trade pharmaceuticals for pharmaceutical production and trades,Topical Solution,Clinawady 1000mg/100ml
INSPIRONIUM 10 mg/ml,10mg/ml,al rowad for pharmaceutical industries,Solution for I.V injection \Infusion,INSPIRONIUM 10 mg/ml 10mg/ml
PROFENID syrup,1mg/ml,Sanofi Egypt,Syrup,PROFENID syrup 1mg/ml
Cerazette®,0.075mg,Organon pharmaceuticals Egypt LLC,Film Coated Tablets,Cerazette® 0.075mg
STIMLORIC,5mg,Spimaco Misr for pharmaceutical industries,Film Coated Tablets,STIMLORIC 5mg
ALGINASCON,0comb,Biocapital for Pharmaceutical and Chemical Industries,Oral Suspension,ALGINASCON 0comb
DELENDROZEN,0comb,UTOPIA PHARMA -EGYPT,Film Coated Tablets,DELENDROZEN 0comb
CETA SINUS,0comb,egyptian promoters center for pharmaceuticals,Tablets,CETA SINUS 0comb
Amikaskiv 500 mg / 2 ml,500mg/2ml,"Sonesta Pharma for Pharmaceutical Industries , import and export",Solution For I.M or I.V. Injection,Amikaskiv 500 mg / 2 ml 500mg/2ml
GESICREST 500 mg / 50 ml,10mg/ml,Makka Pharma,Solution For I.V Infusion,GESICREST 500 mg / 50 ml 10mg/ml
LIDOCAINE ADRENALINE PHARMACELL soln. for inj.,0comb,Pharmacell,Solution for injection,LIDOCAINE ADRENALINE PHARMACELL soln. for inj. 0comb
BUDECORT-200,200mcg/dose,STAR INTERNATIONAL CO,Suspension Aerosol for Inhalation,BUDECORT-200 200mcg/dose
Viread ™,300mg,EVA PHARMA Scientific Office,Film Coated Tablets,Viread ™ 300mg
MUCOLATOR,200mg,Abbott Scientific Office,Oral Granules,MUCOLATOR 200mg
X-Tension 300 mg,300mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Tablets,X-Tension 300 mg 300mg
Exforge® HCT 10/160/25 mg,0comb,Novartis Pharma,Film Coated Tablets,Exforge® HCT 10/160/25 mg 0comb
Exforge® HCT 5/160/12.5 mg,0comb,Novartis Pharma,Film Coated Tablets,Exforge® HCT 5/160/12.5 mg 0comb
Truvada®,0comb,EVA PHARMA Scientific Office,Film Coated Tablets,Truvada® 0comb
Eszodor,2mg,Magic Pharma,Film Coated Tablets,Eszodor 2mg
PUREGON 50 I.U/0.5ml,50I.U/0.5ml,MERCK SHARP&DOHME SCIENTIFIC OFFICE,Solution for injection,PUREGON 50 I.U/0.5ml 50I.U/0.5ml
TOPILEPT,100mg,universal pharmaceutical industries (unipharma),Film Coated Tablets,TOPILEPT 100mg
TRYPTOLINE 10 mg,10mg,kahira pharmaceuticals and chemical industries,Tablets,TRYPTOLINE 10 mg 10mg
TRYPTOLINE 25 mg,25mg,kahira pharmaceuticals and chemical industries,Tablets,TRYPTOLINE 25 mg 25mg
VESLOTIDE,200mg,SIGMA PHARMACEUTICAL INDUSTRIES,Hard Gelatin Capsules,VESLOTIDE 200mg
Epirubicine Mylan,2mg/ml,One Pharma Medics,Solution For I.V Infusion,Epirubicine Mylan 2mg/ml
Tygacil 50 mg,50mg,Pfizer Biopharmaceuticals Egypt LLC,Lyophilized Powder For Solution For I.V Infusion,Tygacil 50 mg 50mg
RIVALEXIN,250mg,RIVA PHARMA,Hard Gelatin Capsules,RIVALEXIN 250mg
Mephacor,5mg,SIGMA PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,Mephacor 5mg
Nevxal 1 mg/ml,1mg/ml,ORCHIDIA PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Suspension,Nevxal 1 mg/ml 1mg/ml
AXIN,150mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Hard Gelatin Capsules,AXIN 150mg
Glucose Infusion BP 2024 10%,10% W/V,"Al Mottahedoon for Pharmaceutical Industry, medical devices and cosmetics - U pharma",Solution For I.V Infusion,Glucose Infusion BP 2024 10% 10% W/V
SODIUM CHLORIDE 0.9% & GLUCOSE 5%,0comb,"Al Mottahedoon for Pharmaceutical Industry, medical devices and cosmetics - U pharma",Solution For I.V Infusion,SODIUM CHLORIDE 0.9% & GLUCOSE 5% 0comb
Mefac,0comb,SUECAL PHARMACEUTICAL INDUSTRIES-EGYPT,Film Coated Tablets,Mefac 0comb
IONOPS,0.15gm/100g,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,IONOPS 0.15gm/100g
VELGAROL PLUS,0comb,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Topical Ointment,VELGAROL PLUS 0comb
OPTIRIDIN,10mg/ml,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,OPTIRIDIN 10mg/ml
ANESTACON,2mg/ml,Pharmacell,Solution For I.V Infusion,ANESTACON 2mg/ml
CHENAROMITA,100mg,Chemedica,Vaginal Ovules,CHENAROMITA 100mg
QUEENLEPT 25 mg,25mg,Aspin pharma ceutical,Hard Gelatin Capsules,QUEENLEPT 25 mg 25mg
QUEENLEPT 75 mg,75mg,Aspin pharma ceutical,Hard Gelatin Capsules,QUEENLEPT 75 mg 75mg
ZARLODIP,0comb,D.B.K FOR PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,ZARLODIP 0comb
Windy 200 mg,200mg/5gm,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Effervescent Granules for Oral Solution,Windy 200 mg 200mg/5gm
REPANORM,0.5mg,SIGMA PHARMACEUTICAL INDUSTRIES,Tablets,REPANORM 0.5mg
ROSUMOP,20mg,Novartis Pharma,Film Coated Tablets,ROSUMOP 20mg
Ony,5mg/5ml,universal pharmaceutical industries (unipharma),Syrup,Ony 5mg/5ml
TENOFENCE,245mg,International drug agency for pharmaceutical industry (IDI),Film Coated Tablets,TENOFENCE 245mg
BIOSERTAZOL,17.5mg/gm,SAJA Pharmaceuticals Egypt - SAJA,Topical Cream,BIOSERTAZOL 17.5mg/gm
LIFATOPIN,0comb,LIFE LINE FOR MEDICAL INDUSTRIES-EGYPT,Film Coated Tablets,LIFATOPIN 0comb
STATICAP,120mg,Mira International for Pharmaceuticals & Chemicals,Hard Gelatin Capsules,STATICAP 120mg
MORGABILON 2 mg,2mg,Global NAPI Pharmaceuticals - GNP,Tablets,MORGABILON 2 mg 2mg
MORGABILON 0.5 mg,0.5mg,Global NAPI Pharmaceuticals - GNP,Tablets,MORGABILON 0.5 mg 0.5mg
RAME-DINIR 125mg/5ml,125mg/5ml,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Powder for Oral Suspension,RAME-DINIR 125mg/5ml 125mg/5ml
MORGABILON 1mg,1mg,Global NAPI Pharmaceuticals - GNP,Tablets,MORGABILON 1mg 1mg
SULBIN 0.25gm/5ml,0.25mg/5ml,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Powder for Oral Suspension,SULBIN 0.25gm/5ml 0.25mg/5ml
STRIGDAR 2%,20mg/ml,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,STRIGDAR 2% 20mg/ml
RAME-DINIR 250mg/5ml,250mg/5ml,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Powder for Oral Suspension,RAME-DINIR 250mg/5ml 250mg/5ml
Ossofortin 0.25 mg,10000I.U.,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,Ossofortin 0.25 mg 10000I.U.
Ossofortin 1.25 mg,50000I.U.,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,Ossofortin 1.25 mg 50000I.U.
ZHIEM 10mg,10mg,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Film Coated Tablets,ZHIEM 10mg 10mg
LINOPRIL- H,0comb,Chemical Industries Development (CID),Tablets,LINOPRIL- H 0comb
GLICLAZIDE,80mg,universal pharmaceutical industries (unipharma),Tablets,GLICLAZIDE 80mg
PRAMACORT,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Topical Lotion,PRAMACORT 0comb
ORGOPROXEN,500mg,organo for pharmaceutical and chemical industries (organo pharma),Tablets,ORGOPROXEN 500mg
DUTAPROST,0.5mg,TIBA COMPANY FOR PHARMACEUTICAL IND.,Hard Gelatin Capsules,DUTAPROST 0.5mg
EXTRABIOTIC,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Eye / Ear Drops,EXTRABIOTIC 0comb
ECALEPTIC 200mg,200mg,Egyptian Canadian Pharmacetical (923),Tablets,ECALEPTIC 200mg 200mg
ECANOPRAM 20mg,20mg,Egyptian Canadian Pharmacetical (923),Film Coated Tablets,ECANOPRAM 20mg 20mg
ECANOPRAM 10mg,10mg,Egyptian Canadian Pharmacetical (923),Film Coated Tablets,ECANOPRAM 10mg 10mg
Goutyless,500mg/0.5gm,October Pharma,Tablets,Goutyless 500mg/0.5gm
Rositor 20mg,20mg,Sanofi Egypt,Film Coated Tablets,Rositor 20mg 20mg
Rositor 10mg,10mg,Sanofi Egypt,Film Coated Tablets,Rositor 10mg 10mg
MENTORHEUM ULTRA,0comb,Egyptian American Pharmaceutical Industries-egypt,Topical Cream,MENTORHEUM ULTRA 0comb
INFECTOCURE 250 mg,250mg,Egyptian Group for Pharmaceutical Industries - EGPI,Film Coated Tablets,INFECTOCURE 250 mg 250mg
ALUMATREND,0comb,Trend Pharm for Pharmaceuticals,Oral Suspension,ALUMATREND 0comb
Cardiotimide 20 mg,20mg,al andalous for pharmaceutical industries,Tablets,Cardiotimide 20 mg 20mg
CARDIOTIMIDE 5 mg,5mg,al andalous for pharmaceutical industries,Tablets,CARDIOTIMIDE 5 mg 5mg
DEPRESSIL,20mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,DEPRESSIL 20mg
FORCETEX 2 gm,2gm,Novartis Pharma,Powder for solution for I.M or I.V Injection,FORCETEX 2 gm 2gm
BALSACOLIN,750mg,LIFE LINE FOR MEDICAL INDUSTRIES-EGYPT,Hard Gelatin Capsules,BALSACOLIN 750mg
IDISARTAN 160 mg,160mg,International drug agency for pharmaceutical industry (IDI),Film Coated Tablets,IDISARTAN 160 mg 160mg
IDISARTAN 320 mg,320mg,International drug agency for pharmaceutical industry (IDI),Film Coated Tablets,IDISARTAN 320 mg 320mg
FUSIDIC ACID,250mg/5ml,SIGMA PHARMACEUTICAL INDUSTRIES,Oral Suspension,FUSIDIC ACID 250mg/5ml
Idisartan Plus 160/12.5 mg,0comb,International drug agency for pharmaceutical industry (IDI),Film Coated Tablets,Idisartan Plus 160/12.5 mg 0comb
LOSTAPRESSIN PLUS,0comb,El Delta for Pharmaceutical Industries - Delta Pharma,Film Coated Tablets,LOSTAPRESSIN PLUS 0comb
IDISARTAN PLUS 320/12.5 mg,0comb,International drug agency for pharmaceutical industry (IDI),Film Coated Tablets,IDISARTAN PLUS 320/12.5 mg 0comb
LOSTAPRESSIN 100mg,100mg,El Delta for Pharmaceutical Industries - Delta Pharma,Film Coated Tablets,LOSTAPRESSIN 100mg 100mg
Regimaslim,120mg,TOP PHARM INCORPORATION,Hard Gelatin Capsules,Regimaslim 120mg
Ketoprofen Capsules B.P 2013,50mg,universal pharmaceutical industries (unipharma),Capsule,Ketoprofen Capsules B.P 2013 50mg
COFLIN,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Oral Syrup,COFLIN 0comb
FARCOLIN,2mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Tablets,FARCOLIN 2mg
INDOMETHACIN spray,0.01gm/ml,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Topical Spray,INDOMETHACIN spray 0.01gm/ml
FLUMOCIN,0comb,Upper Egypt pharmaceuticals - UP Pharma,Capsule,FLUMOCIN 0comb
FLUMOCIN,500mg,Upper Egypt pharmaceuticals - UP Pharma,Capsule,FLUMOCIN 500mg
LOW-STEROL,10mg,Upper Egypt pharmaceuticals - UP Pharma,Film Coated Tablets,LOW-STEROL 10mg
Dogmatil®,50mg,Sanofi Egypt,Hard Gelatin Capsules,Dogmatil® 50mg
TINASEL lotion,2.5gm/100ml,Alfacure Pharmaceuticals,Topical Lotion,TINASEL lotion 2.5gm/100ml
LEVO-CARNINE,250mg,Hikma pharma,Capsule,LEVO-CARNINE 250mg
COMPAGENE,0comb,Hikma pharma,Tablets,COMPAGENE 0comb
Lomex,400mg,SIGMA PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,Lomex 400mg
EZALLIN,2gm/100ml,Multipharma for Pharmaceuticals and Chemicals Company,Paint,EZALLIN 2gm/100ml
MYORELAX,0comb,Amoun Pharmaceutical Company,Capsule,MYORELAX 0comb
"Mitoxantrone ""Ebewe""",20mg/10ml,Sandoz Egypt pharma,CONCENTRATE SOLUTION FOR INFUSION,"Mitoxantrone ""Ebewe"" 20mg/10ml"
HIMCOLIN CREAM(Cancelled),0UnDefined,Amoun Pharmaceutical Company,Topical Cream,HIMCOLIN CREAM(Cancelled) 0UnDefined
TENTEX FORTE tab.(Cancelled),0comb,Nader pharma Scientific Office,Tablets,TENTEX FORTE tab.(Cancelled) 0comb
LIV 52 tab.(suspended re-reg.),0comb,Multipharma for Pharmaceuticals and Chemicals Company,Tablets,LIV 52 tab.(suspended re-reg.) 0comb
CYSTONE,0comb,Multipharma for Pharmaceuticals and Chemicals Company,Tablets,CYSTONE 0comb
SPEMAN tab.(Cancelled),0comb,Nader pharma Scientific Office,Tablets,SPEMAN tab.(Cancelled) 0comb
CORPRIL 1.25mg,1.25mg,Rexcel Egypt,Capsule,CORPRIL 1.25mg 1.25mg
EURAX cream,100mg/gm,Glaxo smithkline,Topical Cream,EURAX cream 100mg/gm
EURAX,100mg/gm,Novartis Pharma,Topical Lotion,EURAX 100mg/gm
Tegretol® CR 400 mg,400mg,Novartis Pharma,Controlled Release Film Coated Divitabs,Tegretol® CR 400 mg 400mg
XENOS,0comb,Amoun Pharmaceutical Company,Effervescent Granules,XENOS 0comb
MELOCAM 15 mg supp.,15mg,Amoun Pharmaceutical Company,Rectal Suppositories,MELOCAM 15 mg supp. 15mg
BARILUX COLON 95.854 % powder(Cancelled),95.854%,Osteo Test Center,Powder,BARILUX COLON 95.854 % powder(Cancelled) 95.854%
BARILUX HD,96.805%,Osteo Test Center,Oral Powder,BARILUX HD 96.805%
Pyral,2.4gm/100ml,kahira pharmaceuticals and chemical industries,Oral Syrup,Pyral 2.4gm/100ml
VIODERM HYDROCORTISONE,0comb,kahira pharmaceuticals and chemical industries,Topical Cream,VIODERM HYDROCORTISONE 0comb
VITAPLEX,0comb,kahira pharmaceuticals and chemical industries,Capsule,VITAPLEX 0comb
EZAPRED 20mg/100ml enema(Cancelled),20mg/100ml,Badr Pharma for Pharmaceutical Industries -Egypt,Enema,EZAPRED 20mg/100ml enema(Cancelled) 20mg/100ml
STOPAIN,0comb,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,STOPAIN 0comb
EXE TOP-N,0comb,TOP PHARM INCORPORATION,Oral Syrup,EXE TOP-N 0comb
Myolax,0comb,TOP PHARM INCORPORATION,Hard Gelatin Capsules,Myolax 0comb
TRICHOCID 250mg,250mg,Chemical Industries Development (CID),Film Coated Tablets,TRICHOCID 250mg 250mg
Plemazol,10mg,Chemical Industries Development (CID),Tablets,Plemazol 10mg
SPASMIN adult supp.(Cancelled),0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Rectal Suppositories,SPASMIN adult supp.(Cancelled) 0comb
CHLOROQUINE PHOSPHATE,250mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Tablets,CHLOROQUINE PHOSPHATE 250mg
VIOXX 12.5mg tab.(Cancelled),12.5mg,Global NAPI Pharmaceuticals - GNP,Tablets,VIOXX 12.5mg tab.(Cancelled) 12.5mg
VIOXX 25mg tab.(Cancelled),25mg,Global NAPI Pharmaceuticals - GNP,Tablets,VIOXX 25mg tab.(Cancelled) 25mg
BRUFEMOL-N,100mg/5ml,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Oral Suspension,BRUFEMOL-N 100mg/5ml
Megafen N,100mg/5ml,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Oral Suspension,Megafen N 100mg/5ml
Clarithro 500 mg,500mg,Pharco B International,Film Coated Tablets,Clarithro 500 mg 500mg
Spasmofen,0comb,Amriya for Pharmaceutical Industries,Solution for I.M Injection,Spasmofen 0comb
HEPTAMINOL,150mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Tablets,HEPTAMINOL 150mg
Tarivan,200mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Film Coated Tablets,Tarivan 200mg
L-Carntine Capsule,350mg,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Hard Gelatin Capsules,L-Carntine Capsule 350mg
Vidrop®,2800I.U./ml,Medical Union Pharmaceuticals - MUP,Oral Drops,Vidrop® 2800I.U./ml
Augmentin 1 gm,0comb,Glaxo smithkline,Film Coated Tablets,Augmentin 1 gm 0comb
RUMATOL 400 mg,400mg,SIGMA PHARMACEUTICAL INDUSTRIES,Hard Gelatin Capsules,RUMATOL 400 mg 400mg
PHLOGENZYME tab.(Cancelled),0comb,Healthy family Scientific Office,Tablets,PHLOGENZYME tab.(Cancelled) 0comb
MISOTAC,200mcg,SIGMA PHARMACEUTICAL INDUSTRIES,Tablets,MISOTAC 200mcg
HYCAMTIN,4mg,Sandoz Egypt pharma,Lyophilized powder for I.V infusion,HYCAMTIN 4mg
VISIPAQUE,320mg/ml,Nycomed (Takeda),Solution for injection,VISIPAQUE 320mg/ml
LANVIS 40 mg tab.,40mg,phoenix Marketing Group.,Tablets,LANVIS 40 mg tab. 40mg
VALPAM 2 mg,2mg,Amoun Pharmaceutical Company,Tablets,VALPAM 2 mg 2mg
VALPAM 5 mg,5mg,Amoun Pharmaceutical Company,Tablets,VALPAM 5 mg 5mg
Amophage 500 mg,500mg,Amoun Pharmaceutical Company,Tablets,Amophage 500 mg 500mg
Baby Cream,0comb,Amoun Pharmaceutical Company,Topical Cream,Baby Cream 0comb
Haemostop®250 mg,250mg,Amoun Pharmaceutical Company,Film Coated Tablets,Haemostop®250 mg 250mg
Xithrone®,200mg/5ml,Amoun Pharmaceutical Company,Powder for Oral Suspension,Xithrone® 200mg/5ml
BUCAIN,0.5%,Sunny Medical Group,Lyophilized Powder,BUCAIN 0.5%
OKACIN 3mg/ml eye drops(CANCELLED),3mg/ml,Novartis Pharma,Eye Drops,OKACIN 3mg/ml eye drops(CANCELLED) 3mg/ml
Lisitens 20mg/12.5mg,0comb,Hi Pharm for manufacturing pharmaceuticals and chemicals,Tablets,Lisitens 20mg/12.5mg 0comb
AMITRIPTINE,75mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Sustained Release Capsule,AMITRIPTINE 75mg
LUCIDRIL,250mg,Minapharm company for pharmaceuticals and chemical industries,Lyophilized Powder,LUCIDRIL 250mg
Baby Care,0comb,Hi Pharm for manufacturing pharmaceuticals and chemicals,Topical Cream,Baby Care 0comb
Celebrex* 100 mg,100mg,Viatris Egypt,Hard Gelatin Capsules,Celebrex* 100 mg 100mg
Celebrex* 200 mg,200mg,Viatris Egypt,Hard Gelatin Capsules,Celebrex* 200 mg 200mg
