trade_name,concentration,company,pharmaceutical_form,display_name
Lamifen,1gm/100g,Egyptian Group for Pharmaceutical Industries - EGPI,Topical Cream,Lamifen 1gm/100g
ALEXOPRINE FORTE,300mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Tablets,ALEXOPRINE FORTE 300mg
PANTAZOL,40mg,so value pharma,Enteric Coated Tablet,PANTAZOL 40mg
BUDENOFALK,3mg,Minapharm company for pharmaceuticals and chemical industries,Hard Gelatin Capsules,BUDENOFALK 3mg
HUMAN INSULIN N VACSERA-BIOTON 100I.U./ml vial,100I.U./ml,"The holding company for  biological products and vaccines - Egyptian Company for Production of Vaccines , Sera and Drugs( EGYVAC )",Lyophilized Powder,HUMAN INSULIN N VACSERA-BIOTON 100I.U./ml vial 100I.U./ml
HUMAN INSULIN R VACSERA-BIOTON 100I.U./ml vial,100I.U./ml,Vacsera EGY-Blood,Lyophilized Powder,HUMAN INSULIN R VACSERA-BIOTON 100I.U./ml vial 100I.U./ml
GYNO-TARDYFERON,0comb,Minapharm company for pharmaceuticals and chemical industries,Coated Tablet,GYNO-TARDYFERON 0comb
Topamax,100mg,Janssen pharmaceutica NV,Film Coated Tablets,Topamax 100mg
MERIONAL 150I.U. I.M./S.C. vial,150I.U.,F.HabibScientific,Powder and Solvent for Solution for injection,MERIONAL 150I.U. I.M./S.C. vial 150I.U.
DIFRAREL  E,0comb,Amoun Pharmaceutical Company,Film Coated Tablets,DIFRAREL  E 0comb
PRO-DAFALGAN 1gm vial,1gm,LOGIX,Lyophilized Powder,PRO-DAFALGAN 1gm vial 1gm
VISCERA,50mg,Amoun Pharmaceutical Company,Tablets,VISCERA 50mg
Rhogam Ultra-filtered PLUS,300mcg,LAB TOP,Prefilled Syringe,Rhogam Ultra-filtered PLUS 300mcg
MONOTARD HM 100I.u./ml vial(CANCELLED),100I.U./ml,Egyptian Pharmaceutical Trading,Lyophilized Powder,MONOTARD HM 100I.u./ml vial(CANCELLED) 100I.U./ml
FLIXOTIDE DISKUS 500mcg accuhaler(Cancelled),500mcg,GLAXO SMITHKLINE-EGYPT Scientific Office,Inhalation Powder,FLIXOTIDE DISKUS 500mcg accuhaler(Cancelled) 500mcg
"INNOHEP 10,000 I.U./ml ANTI-XA vial",10000I.U./ml,Minapharm Trading and Distribution,Solution for injection,"INNOHEP 10,000 I.U./ml ANTI-XA vial 10000I.U./ml"
NIMBEX,5mg/2.5ml,phoenix Marketing Group.,Solution for I.V injection \Infusion,NIMBEX 5mg/2.5ml
Seretide Accuhaler / Disckus 50/500 mcg,0comb,GlaxoSmithKline,Inhalation Powder,Seretide Accuhaler / Disckus 50/500 mcg 0comb
Seretide Accuhaler / Disckus 50/100 mcg,0comb,GLAXO SMITHKLINE-EGYPT Scientific Office,Inhalation Powder,Seretide Accuhaler / Disckus 50/100 mcg 0comb
COMBIVIR f.c.tab.,0comb,GLAXO SMITHKLINE-EGYPT Scientific Office,Film Coated Tablets,COMBIVIR f.c.tab. 0comb
EPIVIR 10mg/ml syrup,10mg/ml,GLAXO SMITHKLINE-EGYPT Scientific Office,Oral Syrup,EPIVIR 10mg/ml syrup 10mg/ml
LIPOVENOUS 10%,10%,FRESENIUS KABI-SCIENTIFIC OFFICE,Emulsion For Injection,LIPOVENOUS 10% 10%
IMMUNOGLOBULINE 60gm/l I.V.vial,60gm/l,Egyptian Pharmex Co.,Lyophilized Powder,IMMUNOGLOBULINE 60gm/l I.V.vial 60gm/l
ZYBAN 150mg S.R.tab.(Cancelled),150mg,Glaxo smithkline,SUSTAINED RELEASE TABLET,ZYBAN 150mg S.R.tab.(Cancelled) 150mg
ZADITEN,0.025%,Novartis Pharma,Eye Drops,ZADITEN 0.025%
STARLIX,60mg,Novartis Pharma,Film Coated Tablets,STARLIX 60mg
Elidel,1%,Viatris Egypt,Topical Cream,Elidel 1%
Lamotrine 25 mg,25mg,Apex pharma,Tablets,Lamotrine 25 mg 25mg
CEFOBID,2gm,Viatris Egypt,Vial,CEFOBID 2gm
HEPAFORT,0comb,European egyptian pharmaceutical industries,Soft Gelatin Capsule,HEPAFORT 0comb
ASPARGINASE 10.000 unit/vial,10000I.U.,PHARMA ART,Vial,ASPARGINASE 10.000 unit/vial 10000I.U.
IOMERON 400 vial(CANCELLED),81.65gm/100ml,Obelisk pharm Co,Lyophilized Powder,IOMERON 400 vial(CANCELLED) 81.65gm/100ml
PAROX,200mg,jedco international pharmaceuticals,Film Coated Tablets,PAROX 200mg
NALIDIXIC  500mg tab.,500mg,Amoun Pharmaceutical Company,Tablets,NALIDIXIC  500mg tab. 500mg
LOGIMAX,0comb,AstraZeneca Egypt for Pharmaceutical Industries,Prolonged Release Film coated Tablet,LOGIMAX 0comb
PERACTAM,0comb,Upper Egypt pharmaceuticals - UP Pharma,Powder for injection,PERACTAM 0comb
MICROCEPT,0comb,Chemical Industries Development (CID),Tablets,MICROCEPT 0comb
zomig,2.5mg,Astrazeneca scientific office,Film Coated Tablets,zomig 2.5mg
MEFENTAN,250mg,Global NAPI Pharmaceuticals - GNP,Capsule,MEFENTAN 250mg
CEFOCTAM,0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Lyophilized Powder for Injection,CEFOCTAM 0comb
NORACIN 0.3gm/100ml eye drops(CANCELLED),0.3gm/100ml,MEMPHIS for pharmaceuticals and chemical industries,Eye Drops,NORACIN 0.3gm/100ml eye drops(CANCELLED) 0.3gm/100ml
